Back,Back
"Request Audit","Request Audit"
"File not found","File not found"
"An error occurred while downloading the file.","An error occurred while downloading the file."
"Audit request have been registered.","Audit request have been registered."
"Something went wrong while saving the audit request.","Something went wrong while saving the audit request."
"The module %1 is ignored during the audit","The module %1 is ignored during the audit"
"Results are malformed for processor %1. Please check the processor implementation.","Results are malformed for processor %1. Please check the processor implementation."
"Block vs ViewModel Ratio","Block vs ViewModel Ratio"
PHP,PHP
"The ratio of Block files to ViewModel files is too high. This can be a sign of poor code organization.","The ratio of Block files to ViewModel files is too high. This can be a sign of poor code organization."
"Hard Written SQL","Hard Written SQL"
"Hard Written SQL SELECT","Hard Written SQL SELECT"
"SELECT queries must be avoided. Use the Magento Framework methods instead or a custom repository with getList and/or getById methods.","SELECT queries must be avoided. Use the Magento Framework methods instead or a custom repository with getList and/or getById methods."
"Hard Written SQL DELETE","Hard Written SQL DELETE"
"DELETE queries must be avoided. Use the Magento Framework methods instead or a custom repository with delete and/or deleteById methods.","DELETE queries must be avoided. Use the Magento Framework methods instead or a custom repository with delete and/or deleteById methods."
"Hard Written SQL UPDATE","Hard Written SQL UPDATE"
"UPDATE queries should be avoided. Use the Magento Framework methods instead or a custom repository with a save method. It can be faster for large amounts of data but it can lead to data loss in case of an update.","UPDATE queries should be avoided. Use the Magento Framework methods instead or a custom repository with a save method. It can be faster for large amounts of data but it can lead to data loss in case of an update."
"Hard Written SQL INSERT","Hard Written SQL INSERT"
"INSERT queries should be avoided. Use the Magento Framework methods instead or a custom repository with a save method. It can be faster for large amounts of data but it can lead to data loss in case of an update.","INSERT queries should be avoided. Use the Magento Framework methods instead or a custom repository with a save method. It can be faster for large amounts of data but it can lead to data loss in case of an update."
"Hard Written SQL JOIN","Hard Written SQL JOIN"
"JOIN queries should be avoided. Use the Magento Framework methods instead.","JOIN queries should be avoided. Use the Magento Framework methods instead."
"Collection Must Use Factory","Collection Must Use Factory"
"A collection must not be injected in constructor as a specific class. When a collection is needed, a factory of it must be injected and used.","A collection must not be injected in constructor as a specific class. When a collection is needed, a factory of it must be injected and used."
"Repository Must Use Interface","Repository Must Use Interface"
"A repository must not be injected in constructor as a specific class. When a repository is needed, an interface of it must be injected and used.","A repository must not be injected in constructor as a specific class. When a repository is needed, an interface of it must be injected and used."
"Specific Model Injection","Specific Model Injection"
"The classes below seem to implement an API interface. It is recommended to inject the interface instead of the class to prevent preferences to be ignored and respect the coding standards.","The classes below seem to implement an API interface. It is recommended to inject the interface instead of the class to prevent preferences to be ignored and respect the coding standards."
"Specific Class Injection","Specific Class Injection"
"A class should not be injected in constructor as a specific class. In most of the cases, a factory, a builder or an interface should be used. This automatic scan can not be 100% accurate, please verify manually.","A class should not be injected in constructor as a specific class. In most of the cases, a factory, a builder or an interface should be used. This automatic scan can not be 100% accurate, please verify manually."
"Resource Model Injection","Resource Model Injection"
"A resource model must not be injected in constructor as a specific class. When a resource model is needed, a repository of it must be injected and used. It assures a better separation of concerns, a better code quality and improves the code maintainability.","A resource model must not be injected in constructor as a specific class. When a resource model is needed, a repository of it must be injected and used. It assures a better separation of concerns, a better code quality and improves the code maintainability."
"Use of Registry","Use of Registry"
"The use of the Registry is deprecated. Use dependency injection or data persistors instead.","The use of the Registry is deprecated. Use dependency injection or data persistors instead."
Plugins,Plugins
"Dependency Injection (DI)","Dependency Injection (DI)"
"Same Module Plugin","Same Module Plugin"
"Plugin class must not be in the same module as the plugged in class.","Plugin class must not be in the same module as the plugged in class."
"Magento Framework Plugin","Magento Framework Plugin"
"Plugged in class must not be in the Magento Framework. They are called several times and can lead to performance issues.","Plugged in class must not be in the Magento Framework. They are called several times and can lead to performance issues."
"Config Provider Plugin","Config Provider Plugin"
"Plugin class must not be plugged on any of the config provider classes. You must define a config provider to do any modifications on the configuration.","Plugin class must not be plugged on any of the config provider classes. You must define a config provider to do any modifications on the configuration."
"Non-existent Plugin File","Non-existent Plugin File"
"Plugin file does not exist.","Plugin file does not exist."
"Insufficient Permissions","Insufficient Permissions"
"Insufficient permissions to read file.","Insufficient permissions to read file."
"Around to Before Plugin","Around to Before Plugin"
"Around plugin should be a before plugin. Around plugins drastically decrease performances of the website and should be reserved to really specific cases.","Around plugin should be a before plugin. Around plugins drastically decrease performances of the website and should be reserved to really specific cases."
"Around to After Plugin","Around to After Plugin"
"Around plugin should be an after plugin. Around plugins drastically decrease performances of the website and should be reserved to really specific cases.","Around plugin should be an after plugin. Around plugins drastically decrease performances of the website and should be reserved to really specific cases."
"Plugin class must not be in the same module as the plugged in class","Plugin class must not be in the same module as the plugged in class"
"Plugin class must not be in the Magento Framework","Plugin class must not be in the Magento Framework"
"An around method should not contain $proceed as first statement","An around method should not contain $proceed as first statement"
"An around method should not return $proceed as last statement","An around method should not return $proceed as last statement"
"The class %1 implements \Magento\Checkout\Model\ConfigProviderInterface. This is not allowed.","The class %1 implements \Magento\Checkout\Model\ConfigProviderInterface. This is not allowed."
"The module does not have an isEnabled or isActive method","The module does not have an isEnabled or isActive method"
Logic,Logic
"Unused Modules","Unused Modules"
"The following modules are not active. Consider removing them.","The following modules are not active. Consider removing them."
Cacheable,Cacheable
Views,Views
"Use of cacheable=""false"" in layout XML","Use of cacheable=""false"" in layout XML"
"Cacheable=""false"" is not recommended for dynamic blocks and should be avoided. If you need to use cacheable=""false"" for a block, make sure it is necessary and that the block should not be cached (e.g. : Customer Section, sales...).","Cacheable=""false"" is not recommended for dynamic blocks and should be avoided. If you need to use cacheable=""false"" for a block, make sure it is necessary and that the block should not be cached (e.g. : Customer Section, sales...)."
"%1 files have a score equal to or higher than 10. These files must have really bad design pattern and/or not follow coding standards. Please check them with high priority.","%1 files have a score equal to or higher than 10. These files must have really bad design pattern and/or not follow coding standards. Please check them with high priority."
"Beside that, %1 files have a score equal to or higher than 5. These files must be checked with medium priority.","Beside that, %1 files have a score equal to or higher than 5. These files must be checked with medium priority."
"Invalid filename %1","Invalid filename %1"
"Starting audit service...","Starting audit service..."
"Audit service has been run successfully.","Audit service has been run successfully."
"Congratulations! No errors found.","Congratulations! No errors found."
"Error while creating or reading the PDF file: %1","Error while creating or reading the PDF file: %1"
"Error while generating the PDF definition: %1","Error while generating the PDF definition: %1"
"Crealoz can help you to understand or to deepen the analysis of your codebase. We can provide you with a professional audit of your Magento 2 codebase. You can find more information on our website: https://www.crealoz.fr/un-projet/","Crealoz can help you to understand or to deepen the analysis of your codebase. We can provide you with a professional audit of your Magento 2 codebase. You can find more information on our website: https://www.crealoz.fr/un-projet/"
"If you want to go further, you can use EasyAudit Premium, a paid version of EasyAudit that provides more features and more in-depth analysis. You can find more information on our website: https://www.crealoz.fr/crealoz-easy-audit/","If you want to go further, you can use EasyAudit Premium, a paid version of EasyAudit that provides more features and more in-depth analysis. You can find more information on our website: https://www.crealoz.fr/crealoz-easy-audit/"
"This audit has been generated by EasyAudit, a tool developed by Crealoz. It is a free tool that helps you to audit your Magento 2 codebase. It is not a replacement for a professional audit. It is a tool that helps you to identify potential issues in your codebase. It is recommended to use this tool in conjunction with a professional audit.","This audit has been generated by EasyAudit, a tool developed by Crealoz. It is a free tool that helps you to audit your Magento 2 codebase. It is not a replacement for a professional audit. It is a tool that helps you to identify potential issues in your codebase. It is recommended to use this tool in conjunction with a professional audit."
"The file %1 is a registration file","The file %1 is a registration file"
"The file %1 is not in app/code or vendor","The file %1 is not in app/code or vendor"
"The file %1 does not contain a namespace %2","The file %1 does not contain a namespace %2"
"The file %1 does not contain a class named %2","The file %1 does not contain a class named %2"
"File not found: %1","File not found: %1"
"File path is empty","File path is empty"
